player,stat,line,ev,p_over,p_under,std,p5,p95,volatility,confidence,n_sims
TenZ,kills,17.5,19.86,60.9,39.1,7.01,9.0,32.0,High,Medium,10000
TenZ,acs,220.0,259.63,93.9,6.1,30.04,213.46,317.73,Low,High,10000
TenZ,kd,1.15,1.34,45.4,54.6,1.31,0.4,3.0,High,Low,10000
TenZ,adr,140.0,173.58,95.3,4.7,20.91,141.76,212.6,Low,High,10000
TenZ,kast,70.0,70.86,54.1,45.9,7.72,58.52,86.77,Low,Low,10000
TenZ,hs_pct,22.0,24.04,83.9,16.1,2.85,19.56,29.4,Low,High,10000
TenZ,assists,4.5,3.21,27.6,72.4,2.68,0.0,8.0,High,Medium,10000
Aspas,kills,17.5,19.17,57.3,42.7,6.8,9.0,31.0,High,Low,10000
Aspas,acs,220.0,247.47,89.7,10.3,29.14,202.61,304.93,Low,High,10000
Aspas,kd,1.15,1.68,58.0,42.0,1.72,0.46,4.0,High,Low,10000
Aspas,adr,140.0,160.4,89.2,10.8,20.22,129.36,197.76,Low,High,10000
Aspas,kast,70.0,71.98,62.9,37.1,7.98,59.56,88.39,Low,Medium,10000
Aspas,hs_pct,22.0,24.21,81.1,18.9,3.12,19.56,30.02,Low,High,10000
Aspas,assists,4.5,3.34,30.5,69.5,2.94,0.0,9.0,High,Medium,10000
Cryocells,kills,17.5,19.78,60.2,39.8,7.13,9.0,32.0,High,Medium,10000
Cryocells,acs,220.0,259.16,93.7,6.3,30.66,209.62,318.79,Low,High,10000
Cryocells,kd,1.15,1.41,48.3,51.7,1.26,0.4,3.29,High,Low,10000
Cryocells,adr,140.0,172.1,94.5,5.5,21.55,138.03,211.29,Low,High,10000
Cryocells,kast,70.0,70.95,56.0,44.0,7.71,58.0,86.85,Low,Low,10000
Cryocells,hs_pct,22.0,24.19,87.8,12.2,2.82,19.73,29.81,Low,High,10000
Cryocells,assists,4.5,4.18,40.8,59.2,3.12,0.0,10.0,High,Low,10000
Derke,kills,17.5,20.96,64.4,35.6,7.95,9.0,35.0,High,Medium,10000
Derke,acs,220.0,264.1,94.5,5.5,31.21,216.6,325.55,Low,High,10000
Derke,kd,1.15,1.61,52.3,47.7,1.92,0.39,3.88,High,Low,10000
Derke,adr,140.0,171.22,94.4,5.6,21.9,137.9,211.36,Low,High,10000
Derke,kast,70.0,70.53,49.5,50.5,7.77,57.86,86.83,Low,Low,10000
Derke,hs_pct,22.0,24.63,90.6,9.4,2.85,20.32,30.39,Low,High,10000
Derke,assists,4.5,4.59,45.3,54.7,3.52,0.0,11.0,High,Low,10000
Chronicle,kills,17.5,15.15,33.3,66.7,6.4,6.0,27.0,High,Medium,10000
Chronicle,acs,220.0,212.95,31.0,69.0,25.29,176.47,261.54,Low,Medium,10000
Chronicle,kd,1.15,1.42,43.4,56.6,1.74,0.3,3.6,High,Low,10000
Chronicle,adr,140.0,131.37,24.2,75.8,16.99,106.22,161.66,Low,High,10000
Chronicle,kast,70.0,72.59,71.7,28.3,7.72,60.99,88.61,Low,High,10000
Chronicle,hs_pct,22.0,25.38,93.5,6.5,2.9,21.18,31.05,Low,High,10000
Chronicle,assists,4.5,3.04,25.4,74.6,2.59,0.0,8.0,High,High,10000
Zekken,kills,17.5,16.59,41.8,58.2,7.15,6.0,29.0,High,Low,10000
Zekken,acs,220.0,226.04,60.2,39.8,27.03,184.54,276.15,Low,Medium,10000
Zekken,kd,1.15,1.48,47.7,52.3,1.7,0.32,3.62,High,Low,10000
Zekken,adr,140.0,142.41,54.1,45.9,18.13,114.25,174.58,Low,Low,10000
Zekken,kast,70.0,72.53,70.0,30.0,7.8,60.05,88.1,Low,Medium,10000
Zekken,hs_pct,22.0,22.66,61.5,38.5,2.7,18.47,27.69,Low,Medium,10000
Zekken,assists,4.5,3.38,29.5,70.5,2.75,0.0,9.0,High,Medium,10000
Less,kills,17.5,18.25,51.0,48.9,7.04,8.0,31.0,High,Low,10000
Less,acs,220.0,242.49,88.3,11.7,27.89,197.1,295.28,Low,High,10000
Less,kd,1.15,1.33,44.1,55.9,1.28,0.35,3.1,High,Low,10000
